92252160   1    .8621770000 .0000003141 .0005604462 .0003235737 46124720.000000 46124195.796987 524.203013 0.001137        .2933760000 .0000000315 .0001774823 .0001024694 46124340.000000 46124195.796987 144.203013 0.000313        .2934783333 .0000000418 .0002044504 .0001180394 46124288.000000 46124195.796987 92.203013 0.000200        .2940246666 .0000019330 .0013903237 .0008027037 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   2    .4363603333 .0000000244 .0001562049 .0000901849 46124308.000000 46124195.796987 112.203013 0.000243        .2933760000 .0000000104 .0001019803 .0000588783 46124376.000000 46124195.796987 180.203013 0.000391        .2935466666 .0000000035 .0000591607 .0000341564 46124164.000000 46124195.796987 31.796987 0.000069        .2947756666 .0000007372 .0008586035 .0004957149 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   3    .2969973334 .0000001785 .0004224926 .0002439262 46124076.000000 46124195.796987 119.796987 0.000260        .2936450000 .0000000543 .0002330236 .0001345362 46124416.000000 46124195.796987 220.203013 0.000477        .2941653334 .0000000156 .0001248999 .0000721109 46124176.000000 46124195.796987 19.796987 0.000043        .2933390000 .0000000031 .0000556776 .0000321454 46124204.000000 46124195.796987 8.203013 0.000018         
92252160   4    .2934443333 .0000001711 .0004136423 .0002388164 46124276.000000 46124195.796987 80.203013 0.000174        .2932393334 .0000001502 .0003875564 .0002237557 46124392.000000 46124195.796987 196.203013 0.000425        .2936183333 .0000001328 .0003644173 .0002103964 46124244.000000 46124195.796987 48.203013 0.000105        .2942293334 .0000004643 .0006813956 .0003934039 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   5    .2927583333 .0000000099 .0000994987 .0000574456 46123972.000000 46124195.796987 223.796987 0.000485        .2941610000 .0000018486 .0013596323 .0007849840 46124256.000000 46124195.796987 60.203013 0.000131        .2943656667 .0000000557 .0002360084 .0001362595 46124084.000000 46124195.796987 111.796987 0.000242        .2959010000 .0000000128 .0001131370 .0000653196 46099800.000000 46124195.796987 24395.796987 0.052892         
92252160   6    .2932393334 .0000000453 .0002128379 .0001228820 46124276.000000 46124195.796987 80.203013 0.000174        .2936863333 .0000000325 .0001802775 .0001040832 46124248.000000 46124195.796987 52.203013 0.000113        .2941953333 .0000000105 .0001024695 .0000591607 46124156.000000 46124195.796987 39.796987 0.000086        .2951510000 .0000000245 .0001565247 .0000903695 46124204.000000 46124195.796987 8.203013 0.000018         
92252160   7    .2926593333 .0000000314 .0001772004 .0001023066 46124112.000000 46124195.796987 83.796987 0.000182        .2938536666 .0000000244 .0001562049 .0000901849 46124120.000000 46124195.796987 75.796987 0.000164        .2945703334 .0000000140 .0001183215 .0000683129 46124064.000000 46124195.796987 131.796987 0.000286        .2968916667 .0000010933 .0010456098 .0006036830 46124184.000000 46124195.796987 11.796987 0.000026         
92252160   8    .2938206666 .0000000142 .0001191637 .0000687991 46124316.000000 46124195.796987 120.203013 0.000261        .2948096666 .0000003877 .0006226556 .0003594903 46123984.000000 46124195.796987 211.796987 0.000459        .2946050000 .0000000420 .0002049390 .0001183215 46124160.000000 46124195.796987 35.796987 0.000078        .2947413333 .0000001499 .0003871692 .0002235322 46124144.000000 46124195.796987 51.796987 0.000112         
92252160   9    .2930003334 .0000000244 .0001562049 .0000901849 46124164.000000 46124195.796987 31.796987 0.000069        .2936823333 .0000000108 .0001039230 .0000599999 46123872.000000 46124195.796987 323.796987 0.000702        .2946390000 .0000002548 .0005047771 .0002914331 46124116.000000 46124195.796987 79.796987 0.000173        .2948096667 .0000000945 .0003074085 .0001774823 46124104.000000 46124195.796987 91.796987 0.000199         
92252160   10    .2936820000 .0000001998 .0004469899 .0002580697 46124024.000000 46124195.796987 171.796987 0.000372        .2938226667 .0000003563 .0005969087 .0003446253 46124088.000000 46124195.796987 107.796987 0.000234        .2942293334 .0000001500 .0003872983 .0002236067 46124124.000000 46124195.796987 71.796987 0.000156        .2948063333 .0000000706 .0002657066 .0001534057 46124144.000000 46124195.796987 51.796987 0.000112         
92252160   11    .3060396667 .0000002656 .0005153639 .0002975454 46124080.000000 46124195.796987 115.796987 0.000251        .2948776667 .0000000238 .0001542724 .0000890692 46124212.000000 46124195.796987 16.203013 0.000035        .2949120000 .0000000104 .0001019803 .0000588783 46124180.000000 46124195.796987 15.796987 0.000034        .2961066667 .0000001293 .0003595830 .0002076053 46124172.000000 46124195.796987 23.796987 0.000052         
92252160   12    .2979156667 .0000000244 .0001562049 .0000901849 46124000.000000 46124195.796987 195.796987 0.000424        .2946046666 .0000000105 .0001024695 .0000591607 46124144.000000 46124195.796987 51.796987 0.000112        .2959360000 .0000003832 .0006190315 .0003573980 46124148.000000 46124195.796987 47.796987 0.000104        .2967893334 .0000000977 .0003125699 .0001804623 nan 46124195.796987 nan nan         
92252160   13    .2952883334 .0000001694 .0004115823 .0002376271 46124200.000000 46124195.796987 4.203013 0.000009        .2952193333 .0000002199 .0004689349 .0002707396 46124192.000000 46124195.796987 3.796987 0.000008        .2957993333 .0000002552 .0005051732 .0002916618 46124184.000000 46124195.796987 11.796987 0.000026        .2962113334 .0000000148 .0001216552 .0000702376 46123456.000000 46124195.796987 739.796987 0.001604         
92252160   14    .2940553333 .0000000032 .0000565685 .0000326598 46124104.000000 46124195.796987 91.796987 0.000199        .2947073333 .0000000314 .0001772004 .0001023066 46124172.000000 46124195.796987 23.796987 0.000052        .2959016667 .0000009685 .0009841239 .0005681841 46124128.000000 46124195.796987 67.796987 0.000147        .2977110000 .0000001504 .0003878143 .0002239046 46117808.000000 46124195.796987 6387.796987 0.013849         
92252160   15    .2966540000 .0000000414 .0002034698 .0001174733 46124356.000000 46124195.796987 160.203013 0.000347        .2948440000 .0000000034 .0000583095 .0000336650 46124112.000000 46124195.796987 83.796987 0.000182        .2959020000 .0000002133 .0004618441 .0002666458 46124008.000000 46124195.796987 187.796987 0.000407        .2966866666 .0000001711 .0004136423 .0002388164 46124168.000000 46124195.796987 27.796987 0.000060         
92252160   16    .2964480000 .0000000412 .0002029778 .0001171892 46124144.000000 46124195.796987 51.796987 0.000112        .2951853333 .0000001711 .0004136423 .0002388164 46124064.000000 46124195.796987 131.796987 0.000286        .2953240000 .0000000098 .0000989949 .0000571547 46124092.000000 46124195.796987 103.796987 0.000225        .2955913334 .0000000146 .0001208304 .0000697614 46124104.000000 46124195.796987 91.796987 0.000199         
