92252160   1    .8763050000 .0006268870 .0250377115 .0144555294 46124796.000000 46124195.796987 600.203013 0.001301        .2933386666 .0000000031 .0000556776 .0000321454 46124364.000000 46124195.796987 168.203013 0.000365        .2935123333 .0000000238 .0001542724 .0000890692 46124268.000000 46124195.796987 72.203013 0.000157        .2935830000 .0000000439 .0002095232 .0001209682 46124220.000000 46124195.796987 24.203013 0.000052         
92252160   2    .4365000000 .0000000028 .0000529150 .0000305504 46124320.000000 46124195.796987 124.203013 0.000269        .2933750000 .0000000101 .0001004987 .0000580229 46124396.000000 46124195.796987 200.203013 0.000434        .2939903333 .0000007964 .0008924124 .0005152345 46124192.000000 46124195.796987 3.796987 0.000008        .2938206667 .0000000243 .0001558845 .0000899999 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   3    .2968906667 .0000000138 .0001174734 .0000678232 46124040.000000 46124195.796987 155.796987 0.000338        .2937203333 .0000000232 .0001523154 .0000879393 46124460.000000 46124195.796987 264.203013 0.000573        .2940583334 .0000000140 .0001183215 .0000683129 46124140.000000 46124195.796987 55.796987 0.000121        .2934070000 .0000000448 .0002116601 .0001222020 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   4    .2931020000 .0000000035 .0000591607 .0000341564 46124336.000000 46124195.796987 140.203013 0.000304        .2928300000 .0000000454 .0002130727 .0001230175 46124380.000000 46124195.796987 184.203013 0.000399        .2934423334 .0000000144 .0001200000 .0000692820 46124236.000000 46124195.796987 40.203013 0.000087        .2938880000 .0000000104 .0001019803 .0000588783 46124224.000000 46124195.796987 28.203013 0.000061         
92252160   5    .2929323333 .0000000560 .0002366431 .0001366259 46123936.000000 46124195.796987 259.796987 0.000563        .2934783334 .0000001363 .0003691882 .0002131509 46124252.000000 46124195.796987 56.203013 0.000122        .2946370000 .0000000450 .0002121320 .0001224744 46124068.000000 46124195.796987 127.796987 0.000277        .2961440000 .0000002038 .0004514421 .0002606402 46124224.000000 46124195.796987 28.203013 0.000061         
92252160   6    .2939243334 .0000003586 .0005988321 .0003457358 46124324.000000 46124195.796987 128.203013 0.000278        .2935470000 .0000000663 .0002574878 .0001486606 46124232.000000 46124195.796987 36.203013 0.000078        .2943316667 .0000000453 .0002128379 .0001228820 46124144.000000 46124195.796987 51.796987 0.000112        .2950786666 .0000000633 .0002515949 .0001452583 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   7    .2925536666 .0000000096 .0000979795 .0000565684 46124096.000000 46124195.796987 99.796987 0.000216        .2939893334 .0000001264 .0003555277 .0002052640 46124140.000000 46124195.796987 55.796987 0.000121        .2949803333 .0000000560 .0002366431 .0001366259 46124088.000000 46124195.796987 107.796987 0.000234        .2956660000 .0000001483 .0003850973 .0002223360 46124188.000000 46124195.796987 7.796987 0.000017         
92252160   8    .2932760000 .0000000098 .0000989949 .0000571547 46124316.000000 46124195.796987 120.203013 0.000261        .2934783333 .0000001990 .0004460941 .0002575525 46124024.000000 46124195.796987 171.796987 0.000372        .2938240000 .0000000226 .0001503329 .0000867947 46124192.000000 46124195.796987 3.796987 0.000008        .2944693334 .0000000138 .0001174734 .0000678232 46124148.000000 46124195.796987 47.796987 0.000104         
92252160   9    .2927330000 .0000000440 .0002097617 .0001211059 46124120.000000 46124195.796987 75.796987 0.000164        .2940950000 .0000000690 .0002626785 .0001516575 46123904.000000 46124195.796987 291.796987 0.000633        .2942283333 .0000000450 .0002121320 .0001224744 46124104.000000 46124195.796987 91.796987 0.000199        .2950483333 .0000000244 .0001562049 .0000901849 46121108.000000 46124195.796987 3087.796987 0.006695         
92252160   10    .2936856666 .0000000105 .0001024695 .0000591607 46123996.000000 46124195.796987 199.796987 0.000433        .2936523333 .0000000038 .0000616441 .0000355902 46124076.000000 46124195.796987 119.796987 0.000260        .2942293333 .0000001084 .0003292415 .0001900876 46124100.000000 46124195.796987 95.796987 0.000208        .2951850000 .0000002133 .0004618441 .0002666458 46124140.000000 46124195.796987 55.796987 0.000121         
92252160   11    .3055990000 .0000001068 .0003268026 .0001886795 46124140.000000 46124195.796987 55.796987 0.000121        .2947370000 .0000000026 .0000509901 .0000294391 46124208.000000 46124195.796987 12.203013 0.000026        .2950486666 .0000000453 .0002128379 .0001228820 46124176.000000 46124195.796987 19.796987 0.000043        .2960370000 .0000000109 .0001044030 .0000602771 46124172.000000 46124195.796987 23.796987 0.000052         
92252160   12    .2982216666 .0000000564 .0002374868 .0001371130 46123996.000000 46124195.796987 199.796987 0.000433        .2951166666 .0000011334 .0010646126 .0006146543 46124124.000000 46124195.796987 71.796987 0.000156        .2954933333 .0000001494 .0003865229 .0002231591 46124132.000000 46124195.796987 63.796987 0.000138        .2963113333 .0000000453 .0002128379 .0001228820 46124512.000000 46124195.796987 316.203013 0.000686         
92252160   13    .2951146667 .0000000322 .0001794435 .0001036017 46124168.000000 46124195.796987 27.796987 0.000060        .2950486667 .0000000664 .0002576819 .0001487727 46124152.000000 46124195.796987 43.796987 0.000095        .2958356666 .0000006563 .0008101234 .0004677249 46124208.000000 46124195.796987 12.203013 0.000026        .2963796667 .0000002761 .0005254521 .0003033699 46124204.000000 46124195.796987 8.203013 0.000018         
92252160   14    .2939903334 .0000000105 .0001024695 .0000591607 46124148.000000 46124195.796987 47.796987 0.000104        .2947050000 .0000000960 .0003098386 .0001788853 46124196.000000 46124195.796987 0.203013 0.000000        .2951166667 .0000000314 .0001772004 .0001023066 46124128.000000 46124195.796987 67.796987 0.000147        .2965503334 .0000000105 .0001024695 .0000591607 46124168.000000 46124195.796987 27.796987 0.000060         
92252160   15    .2960723334 .0000000244 .0001562049 .0000901849 46124296.000000 46124195.796987 100.203013 0.000217        .2942293334 .0000000035 .0000591607 .0000341564 46124124.000000 46124195.796987 71.796987 0.000156        .2950486666 .0000000453 .0002128379 .0001228820 46124152.000000 46124195.796987 43.796987 0.000095        .2960703334 .0000003125 .0005590169 .0003227485 46124172.000000 46124195.796987 23.796987 0.000052         
92252160   16    .2964843333 .0000000438 .0002092844 .0001208304 46124148.000000 46124195.796987 47.796987 0.000104        .2951186666 .0000002923 .0005406477 .0003121430 46124068.000000 46124195.796987 127.796987 0.000277        .2958336667 .0000002204 .0004694677 .0002710473 46124072.000000 46124195.796987 123.796987 0.000268        .2963116666 .0000013981 .0011824127 .0006826662 46124104.000000 46124195.796987 91.796987 0.000199         
