92252160   1    .8372703334 .0000000486 .0002204540 .0001272791 46124824.000000 46124195.796987 628.203013 0.001362        .3567456666 .0000000002 .0000141421 .0000081649 46124332.000000 46124195.796987 136.203013 0.000295        .3735210000 .0000000366 .0001913112 .0001104535 46124296.000000 46124195.796987 100.203013 0.000217        .3953000000 .0000001191 .0003451086 .0001992485 46124224.000000 46124195.796987 28.203013 0.000061         
92252160   2    .4250593334 .0000001478 .0003844476 .0002219609 46124328.000000 46124195.796987 132.203013 0.000287        .3136873333 .0000000074 .0000860232 .0000496655 46124368.000000 46124195.796987 172.203013 0.000373        .3138026666 .0000000159 .0001260952 .0000728010 46124180.000000 46124195.796987 15.796987 0.000034        .3143776667 .0000000176 .0001326649 .0000765941 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   3    .3135946666 .0000005575 .0007466592 .0004310838 46124052.000000 46124195.796987 143.796987 0.000312        .3134623334 .0000000830 .0002880972 .0001663329 46124436.000000 46124195.796987 240.203013 0.000521        .3136233334 .0000000215 .0001466287 .0000846561 46124160.000000 46124195.796987 35.796987 0.000078        .3142390000 .0000000074 .0000860232 .0000496655 46124212.000000 46124195.796987 16.203013 0.000035         
92252160   4    .3111606667 .0000000510 .0002258317 .0001303839 46124308.000000 46124195.796987 112.203013 0.000243        .3109163334 .0000000099 .0000994987 .0000574456 46124380.000000 46124195.796987 184.203013 0.000399        .3110876666 .0000000206 .0001435270 .0000828653 46124252.000000 46124195.796987 56.203013 0.000122        .3127436667 .0000000261 .0001615549 .0000932737 46124200.000000 46124195.796987 4.203013 0.000009         
92252160   5    .3128770000 .0000000770 .0002774887 .0001602081 46123940.000000 46124195.796987 255.796987 0.000555        .3122133333 .0000000047 .0000685565 .0000395811 46124268.000000 46124195.796987 72.203013 0.000157        .3135030000 .0000000170 .0001303840 .0000752772 46124060.000000 46124195.796987 135.796987 0.000294        .3148246667 .0000000188 .0001371130 .0000791622 46130816.000000 46124195.796987 6620.203013 0.014353         
92252160   6    .3125013334 .0000000115 .0001072380 .0000619138 46124292.000000 46124195.796987 96.203013 0.000209        .3125630000 .0000007291 .0008538735 .0004929840 46124264.000000 46124195.796987 68.203013 0.000148        .3133983334 .0000000174 .0001319090 .0000761576 46124152.000000 46124195.796987 43.796987 0.000095        .3148586667 .0000004625 .0006800735 .0003926406 46124208.000000 46124195.796987 12.203013 0.000026         
92252160   7    .3127843334 .0000000673 .0002594224 .0001497775 46124128.000000 46124195.796987 67.796987 0.000147        .3121610000 .0000001268 .0003560898 .0002055885 46124120.000000 46124195.796987 75.796987 0.000164        .3130216666 .0000000064 .0000800000 .0000461880 46124056.000000 46124195.796987 139.796987 0.000303        .3141933333 .0000000968 .0003111269 .0001796291 46124168.000000 46124195.796987 27.796987 0.000060         
92252160   8    .3126520000 .0000000123 .0001109053 .0000640312 46124308.000000 46124195.796987 112.203013 0.000243        .3118666667 .0000000304 .0001743559 .0001006644 46124004.000000 46124195.796987 191.796987 0.000416        .3127360000 .0000005985 .0007736278 .0004466542 46124172.000000 46124195.796987 23.796987 0.000052        .3136436666 .0000000787 .0002805352 .0001619670 46124144.000000 46124195.796987 51.796987 0.000112         
92252160   9    .3132596666 .0000000382 .0001954482 .0001128420 46124108.000000 46124195.796987 87.796987 0.000190        .3121036667 .0000006763 .0008223746 .0004747981 46123936.000000 46124195.796987 259.796987 0.000563        .3122720000 .0000000334 .0001827566 .0001055145 46124128.000000 46124195.796987 67.796987 0.000147        .3134933334 .0000000374 .0001933907 .0001116541 46099060.000000 46124195.796987 25135.796987 0.054496         
92252160   10    .3127810000 .0000000104 .0001019803 .0000588783 46124032.000000 46124195.796987 163.796987 0.000355        .3111530000 .0000000051 .0000714142 .0000412310 46124052.000000 46124195.796987 143.796987 0.000312        .3118483334 .0000000449 .0002118962 .0001223383 46124124.000000 46124195.796987 71.796987 0.000156        .3131083334 .0000000680 .0002607680 .0001505544 46124240.000000 46124195.796987 44.203013 0.000096         
92252160   11    .3174070000 .0000000442 .0002102379 .0001213809 46124084.000000 46124195.796987 111.796987 0.000242        .3121970000 .0000000067 .0000818535 .0000472581 46124200.000000 46124195.796987 4.203013 0.000009        .3128693333 .0000000046 .0000678232 .0000391577 46124172.000000 46124195.796987 23.796987 0.000052        .3147796666 .0000000049 .0000700000 .0000404145 46124180.000000 46124195.796987 15.796987 0.000034         
92252160   12    .3133983334 .0000002353 .0004850773 .0002800595 46124100.000000 46124195.796987 95.796987 0.000208        .3118700000 .0000000467 .0002161018 .0001247664 46124112.000000 46124195.796987 83.796987 0.000182        .3125366667 .0000000216 .0001469693 .0000848527 46124144.000000 46124195.796987 51.796987 0.000112        .3145933334 .0000001023 .0003198437 .0001846618 46130844.000000 46124195.796987 6648.203013 0.014414         
92252160   13    .3133280000 .0000001366 .0003695943 .0002133853 46124212.000000 46124195.796987 16.203013 0.000035        .3121076666 .0000000787 .0002805352 .0001619670 46124192.000000 46124195.796987 3.796987 0.000008        .3134786667 .0000002780 .0005272570 .0003044119 46124216.000000 46124195.796987 20.203013 0.000044        .3148063334 .0000000061 .0000781024 .0000450924 46150500.000000 46124195.796987 26304.203013 0.057029         
92252160   14    .3144660000 .0000000102 .0001009950 .0000583094 46124068.000000 46124195.796987 127.796987 0.000277        .3118723334 .0000000185 .0001360147 .0000785281 46124176.000000 46124195.796987 19.796987 0.000043        .3126036667 .0000000120 .0001095445 .0000632455 46124116.000000 46124195.796987 79.796987 0.000173        .3157673333 .0000000421 .0002051828 .0001184623 46124176.000000 46124195.796987 19.796987 0.000043         
