92252160   1    .8372256666 .0000000357 .0001889444 .0001090871 46124788.000000 46124195.796987 592.203013 0.001284        .3559956667 .0000000176 .0001326649 .0000765941 46124320.000000 46124195.796987 124.203013 0.000269        .3727156666 .0000000009 .0000300000 .0000173205 46124292.000000 46124195.796987 96.203013 0.000209        .3941963333 .0000000036 .0000600000 .0000346410 46124220.000000 46124195.796987 24.203013 0.000052         
92252160   2    .4247310000 .0000000205 .0001431782 .0000826639 46124284.000000 46124195.796987 88.203013 0.000191        .3136446666 .0000000068 .0000824621 .0000476095 46124364.000000 46124195.796987 168.203013 0.000365        .3138860000 .0000000362 .0001902629 .0001098483 46124176.000000 46124195.796987 19.796987 0.000043        .3145726666 .0000000284 .0001685229 .0000972967 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   3    .3132010000 .0000000061 .0000781024 .0000450924 46124060.000000 46124195.796987 135.796987 0.000294        .3131606667 .0000000298 .0001726267 .0000996660 46124428.000000 46124195.796987 232.203013 0.000503        .3135500000 .0000000951 .0003083828 .0001780448 46124176.000000 46124195.796987 19.796987 0.000043        .3146600000 .0000013163 .0011473011 .0006623945 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   4    .3111020000 .0000000265 .0001627882 .0000939858 46124368.000000 46124195.796987 172.203013 0.000373        .3107520000 .0000000067 .0000818535 .0000472581 46124400.000000 46124195.796987 204.203013 0.000443        .3114933333 .0000004570 .0006760177 .0003902990 46124228.000000 46124195.796987 32.203013 0.000070        .3126103334 .0000000118 .0001086278 .0000627162 46124204.000000 46124195.796987 8.203013 0.000018         
92252160   5    .3132470000 .0000005676 .0007533923 .0004349712 46123968.000000 46124195.796987 227.796987 0.000494        .3121933334 .0000000222 .0001489966 .0000860232 46124248.000000 46124195.796987 52.203013 0.000113        .3136190000 .0000000113 .0001063014 .0000613731 46124076.000000 46124195.796987 119.796987 0.000260        .3146326666 .0000000049 .0000700000 .0000404145 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   6    .3125023333 .0000000022 .0000469041 .0000270800 46124268.000000 46124195.796987 72.203013 0.000157        .3120926667 .0000000297 .0001723368 .0000994986 46124256.000000 46124195.796987 60.203013 0.000131        .3132653334 .0000000030 .0000547722 .0000316227 46124148.000000 46124195.796987 47.796987 0.000104        .3139720000 .0000000335 .0001830300 .0001056724 46124216.000000 46124195.796987 20.203013 0.000044         
92252160   7    .3126060000 .0000000102 .0001009950 .0000583094 46124032.000000 46124195.796987 163.796987 0.000355        .3120520000 .0000000102 .0001009950 .0000583094 46124124.000000 46124195.796987 71.796987 0.000156        .3132276666 .0000000235 .0001532970 .0000885060 46124056.000000 46124195.796987 139.796987 0.000303        .3143180000 .0000000283 .0001682260 .0000971253 46124168.000000 46124195.796987 27.796987 0.000060         
92252160   8    .3128023333 .0000000383 .0001957038 .0001129896 46124276.000000 46124195.796987 80.203013 0.000174        .3118303333 .0000000066 .0000812403 .0000469041 46123976.000000 46124195.796987 219.796987 0.000477        .3123680000 .0000000026 .0000509901 .0000294391 46124176.000000 46124195.796987 19.796987 0.000043        .3134946667 .0000000009 .0000300000 .0000173205 46124140.000000 46124195.796987 55.796987 0.000121         
92252160   9    .3126210000 .0000000137 .0001170469 .0000675770 46124160.000000 46124195.796987 35.796987 0.000078        .3119456666 .0000000034 .0000583095 .0000336650 46123904.000000 46124195.796987 291.796987 0.000633        .3126750000 .0000000033 .0000574456 .0000331662 46124120.000000 46124195.796987 75.796987 0.000164        .3140553334 .0000000175 .0001322875 .0000763762 46124108.000000 46124195.796987 87.796987 0.000190         
92252160   10    .3127020000 .0000000433 .0002080865 .0001201387 46124036.000000 46124195.796987 159.796987 0.000346        .3112950000 .0000000011 .0000331662 .0000191485 46124064.000000 46124195.796987 131.796987 0.000286        .3118550000 .0000000196 .0001400000 .0000808290 46124116.000000 46124195.796987 79.796987 0.000173        .3133203333 .0000000281 .0001676305 .0000967815 46124148.000000 46124195.796987 47.796987 0.000104         
92252160   11    .3175156666 .0000000042 .0000648074 .0000374165 46124144.000000 46124195.796987 51.796987 0.000112        .3129120000 .0000008637 .0009293546 .0005365631 46124212.000000 46124195.796987 16.203013 0.000035        .3127116666 .0000000353 .0001878829 .0001084742 46124172.000000 46124195.796987 23.796987 0.000052        .3145536667 .0000000002 .0000141421 .0000081649 46124184.000000 46124195.796987 11.796987 0.000026         
