8192 .0073296001 .0000024752 .0015732768 .0007035907
16384 .0070200000 .0000010610 .0010300485 .0004606516
24576 .0120463999 .0000024825 .0015755951 .0007046275
32768 .0094354001 .0000013493 .0011615937 .0005194804
40960 .0128250000 .0000503413 .0070951603 .0031730521
49152 .0155172000 .0000300268 .0054796715 .0024505835
57344 .0135109999 .0000508574 .0071314374 .0031892757
65536 .0154918000 .0000747629 .0086465542 .0038668565
73728 .0125422000 .0000004454 .0006673829 .0002984627
81920 .0106468000 .0000000333 .0001824828 .0000816087
90112 .0163926000 .0000473036 .0068777612 .0030758283
98304 .0130426000 .0000000903 .0003004995 .0001343874
106496 .0105524000 .0000002547 .0005046781 .0002256989
114688 .0103788000 .0000014505 .0012043670 .0005386092
122880 .0178416000 .0000493472 .0070247562 .0031415664
131072 .0149154000 .0000386416 .0062162368 .0027799856
139264 .0138462000 .0000270548 .0052014228 .0023261469
147456 .0173536000 .0000388587 .0062336746 .0027877840
155648 .0172566000 .0000414331 .0064368548 .0028786489
163840 .0115100000 .0000012171 .0011032225 .0004933761
172032 .0193064000 .0000384257 .0061988466 .0027722084
180224 .0109110000 .0000013607 .0011664904 .0005216703
188416 .0154414000 .0000153683 .0039202423 .0017531856
196608 .0186128000 .0000275016 .0052441967 .0023452760
204800 .0125148000 .0000194767 .0044132414 .0019736615
212992 .0154970000 .0000279910 .0052906521 .0023660515
221184 .0172350000 .0000208359 .0045646358 .0020413671
229376 .0134846001 .0000249007 .0049900601 .0022316227
237568 .0167848000 .0000100835 .0031754527 .0014201056
245760 .0141544000 .0000104224 .0032283742 .0014437728
253952 .0113466000 .0000117120 .0034222799 .0015304900
262144 .0178902000 .0000080609 .0028391724 .0012697164
270336 .0179140000 .0000139094 .0037295308 .0016678968
278528 .0157840000 .0000134378 .0036657604 .0016393778
286720 .0135008000 .0000064652 .0025426757 .0011371191
294912 .0138216000 .0000088579 .0029762224 .0013310071
303104 .0161922000 .0000062888 .0025077479 .0011214989
311296 .0116308000 .0000105583 .0032493537 .0014531551
319488 .0140194000 .0000164737 .0040587806 .0018151418
327680 .0148948000 .0000074236 .0027246284 .0012184908
335872 .0147768000 .0000027312 .0016526342 .0007390804
344064 .0140338000 .0000038495 .0019620142 .0008774394
352256 .0145022000 .0000067906 .0026058779 .0011653840
360448 .0126094000 .0000002765 .0005258326 .0002351594
368640 .0113416000 .0000002419 .0004918333 .0002199545
376832 .0138037999 .0000037127 .0019268367 .0008617075
385024 .0129766000 .0000067668 .0026013073 .0011633399
393216 .0161934000 .0000003471 .0005891519 .0002634767
401408 .0160206000 .0000086799 .0029461670 .0013175659
409600 .0157802000 .0000027263 .0016511511 .0007384172
417792 .0142104001 .0000033775 .0018377975 .0008218880
425984 .0158192000 .0000006003 .0007747902 .0003464967
434176 .0138394000 .0000026581 .0016303680 .0007291227
442368 .0131888000 .0000041425 .0020353132 .0009102197
450560 .0125682000 .0000042739 .0020673412 .0009245430
458752 .0144254000 .0000031263 .0017681346 .0007907338
466944 .0159812000 .0000018023 .0013424976 .0006003831
475136 .0158957999 .0000004300 .0006557438 .0002932575
483328 .0140076000 .0000021048 .0014507928 .0006488142
491520 .0135350000 .0000009880 .0009939818 .0004445221
499712 .0138282000 .0000016385 .0012800390 .0005724508
507904 .0125557999 .0000013217 .0011496521 .0005141400
516096 .0122815999 .0000017836 .0013355148 .0005972603
524288 .0145050000 .0000012053 .0010978615 .0004909785
532480 .0124567999 .0000024688 .0015712415 .0007026805
540672 .0152544001 .0000010698 .0010343113 .0004625580
548864 .0152586000 .0000002059 .0004537620 .0002029285
557056 .0152302000 .0000012195 .0011043097 .0004938623
565248 .0153312000 .0000022690 .0015063200 .0006736467
573440 .0146844000 .0000008748 .0009353074 .0004182821
