131072       .0084465000 .0000000006 .0000244948 .0000173204 139.287079 139.697752 0.410673 0.293972        .0079280000 .0000000023 .0000479583 .0000339116 139.287064 139.697752 0.410688 0.293983        .0087165000 .0000016290 .0012763228 .0009024965 139.287079 139.697752 0.410673 0.293972        .0080800000 .0000000224 .0001496662 .0001058299 139.287079 139.697752 0.410673 0.293972        .0086530000 .0000000003 .0000173205 .0000122474 139.287064 139.697752 0.410688 0.293983         
262144       .0100865000 .0000000053 .0000728010 .0000514780 216.626495 217.039503 0.413008 0.190291        .0084915000 .0000000043 .0000655743 .0000463680 216.626495 217.039503 0.413008 0.190291        .0084095000 .0000000003 .0000173205 .0000122474 216.626495 217.039503 0.413008 0.190291        .0084525000 .0000000018 .0000424264 .0000299999 216.626465 217.039503 0.413038 0.190306        .0087500000 .0000000154 .0001240967 .0000877496 216.626495 217.039503 0.413008 0.190291         
393216       .0114465000 .0000000010 .0000316227 .0000223606 410.648468 411.113435 0.464967 0.113100        .0089135000 .0000000085 .0000921954 .0000651919 410.648499 411.113435 0.464937 0.113092        .0089905000 .0000000008 .0000282842 .0000199999 410.648468 411.113435 0.464967 0.113100        .0094480000 .0000002325 .0004821825 .0003409545 410.648499 411.113435 0.464937 0.113092        .0093250000 .0000000089 .0000943398 .0000667083 410.648621 411.113435 0.464815 0.113062         
524288       .0126605000 .0000000190 .0001378404 .0000974678 296.856567 297.351846 0.495278 0.166563        .0096335000 .0000000002 .0000141421 .0000099999 296.856445 297.351846 0.495400 0.166604        .0092560000 .0000000006 .0000244948 .0000173204 296.856415 297.351846 0.495431 0.166614        .0094095000 .0000000002 .0000141421 .0000099999 296.856476 297.351846 0.495370 0.166594        .0093935000 .0000000015 .0000387298 .0000273861 296.856445 297.351846 0.495400 0.166604         
655360       .0137555000 .0000000022 .0000469041 .0000331662 423.240601 423.487837 0.247236 0.058381        .0104290000 .0000000005 .0000223606 .0000158113 423.240448 423.487837 0.247389 0.058417        .0108030000 .0000000020 .0000447213 .0000316227 423.240417 423.487837 0.247420 0.058424        .0106320000 .0000000369 .0001920937 .0001358307 423.240540 423.487837 0.247297 0.058395        .0113710000 .0000000165 .0001284523 .0000908294 423.240601 423.487837 0.247236 0.058381         
786432       .0150560000 .0000000035 .0000591607 .0000418329 254.127380 254.681232 0.553852 0.217469        .0108770000 .0000000040 .0000632455 .0000447213 254.127411 254.681232 0.553821 0.217457        .0110270000 .0000000003 .0000173205 .0000122474 254.127594 254.681232 0.553638 0.217385        .0110510000 .0000000001 .0000100000 .0000070710 254.127380 254.681232 0.553852 0.217469        .0123905000 .0000010267 .0010132620 .0007164844 254.127167 254.681232 0.554066 0.217553         
917504       .0163840000 .0000000009 .0000300000 .0000212132 171.004913 171.730047 0.725134 0.422252        .0114240000 .0000001447 .0003803945 .0002689795 171.004883 171.730047 0.725164 0.422270        .0113185000 .0000000059 .0000768114 .0000543138 171.004974 171.730047 0.725073 0.422217        .0115280000 0 0 0 171.004944 171.730047 0.725103 0.422234        .0119825000 .0000000114 .0001067707 .0000754982 171.004913 171.730047 0.725134 0.422252         
1048576       .0174525000 .0000000034 .0000583095 .0000412310 -1.188629 -0.383628 0.805001 209.839143        .0115760000 .0000000228 .0001509966 .0001067707 -1.188568 -0.383628 0.804940 209.823233        .0116160000 .0000000058 .0000761577 .0000538516 -1.188660 -0.383628 0.805032 209.847098        .0116850000 .0000000008 .0000282842 .0000199999 -1.188538 -0.383628 0.804910 209.815278        .0119950000 .0000000154 .0001240967 .0000877496 -1.188568 -0.383628 0.804940 209.823233         
