131072       .0103955000 .0000018993 .0013781509 .0009744998 139.287079 139.697752 0.410673 0.293972        .0107010000 .0000079760 .0028241812 .0019969976 139.287109 139.697752 0.410642 0.293951        .0103935000 .0000057088 .0023893095 .0016894969 139.287079 139.697752 0.410673 0.293972        .0091630000 .0000002548 .0005047771 .0003569313 139.287079 139.697752 0.410673 0.293972        .0097280000 .0000001884 .0004340506 .0003069201 139.287079 139.697752 0.410673 0.293972         
262144       .0109055000 .0000000053 .0000728010 .0000514780 216.626495 217.039503 0.413008 0.190291        .0089600000 .0000000052 .0000721110 .0000509901 216.626556 217.039503 0.412947 0.190263        .0091140000 0 0 0 216.626556 217.039503 0.412947 0.190263        .0101890000 .0000018934 .0013760087 .0009729850 216.626495 217.039503 0.413008 0.190291        .0095760000 .0000000056 .0000748331 .0000529149 216.626389 217.039503 0.413114 0.190341         
393216       .0121855000 .0000000210 .0001449137 .0001024694 410.648468 411.113435 0.464967 0.113100        .0097280000 .0000001884 .0004340506 .0003069201 410.648499 411.113435 0.464937 0.113092        .0097775000 .0000000483 .0002197726 .0001554026 410.648438 411.113435 0.464998 0.113107        .0098320000 .0000000824 .0002870540 .0002029778 410.648438 411.113435 0.464998 0.113107        .0096770000 .0000000052 .0000721110 .0000509901 410.648560 411.113435 0.464876 0.113077         
524288       .0136705000 .0000000053 .0000728010 .0000514780 296.856445 297.351846 0.495400 0.166604        .0104450000 0 0 0 296.856445 297.351846 0.495400 0.166604        .0112640000 .0000067932 .0026063767 .0018429866 296.856445 297.351846 0.495400 0.166604        .0097280000 .0000000208 .0001442220 .0001019803 296.856445 297.351846 0.495400 0.166604        .0098305000 .0000000210 .0001449137 .0001024694 296.856445 297.351846 0.495400 0.166604         
655360       .0152080000 .0000000480 .0002190890 .0001549193 423.240784 423.487837 0.247053 0.058338        .0105475000 .0000000210 .0001449137 .0001024694 423.240570 423.487837 0.247267 0.058388        .0098300000 0 0 0 423.240509 423.487837 0.247328 0.058403        .0098845000 .0000000059 .0000768114 .0000543138 423.240601 423.487837 0.247236 0.058381        .0099325000 .0000000210 .0001449137 .0001024694 423.240631 423.487837 0.247206 0.058374         
786432       .0164865000 .0000001891 .0004348562 .0003074897 254.127441 254.681232 0.553791 0.217445        .0108045000 .0000000049 .0000700000 .0000494974 254.127380 254.681232 0.553852 0.217469        .0099840000 .0000000052 .0000721110 .0000509901 254.127167 254.681232 0.554066 0.217553        .0101380000 0 0 0 254.127411 254.681232 0.553821 0.217457        .0111105000 .0000000471 .0002170253 .0001534600 254.127441 254.681232 0.553791 0.217445         
917504       .0178175000 .0000000210 .0001449137 .0001024694 171.004944 171.730047 0.725103 0.422234        .0111620000 0 0 0 171.004913 171.730047 0.725134 0.422252        .0103935000 .0000000053 .0000728010 .0000514780 171.004883 171.730047 0.725164 0.422270        .0102400000 0 0 0 171.004852 171.730047 0.725195 0.422288        .0111615000 .0000000210 .0001449137 .0001024694 171.004944 171.730047 0.725103 0.422234         
1048576       .0190975000 .0000000053 .0000728010 .0000514780 -1.188660 -0.383628 0.805032 209.847098        .0115200000 .0000000052 .0000721110 .0000509901 -1.188568 -0.383628 0.804940 209.823233        .0108545000 .0000000210 .0001449137 .0001024694 -1.189148 -0.383628 0.805520 209.974378        .0106500000 0 0 0 -1.188538 -0.383628 0.804910 209.815278        .0111620000 0 0 0 -1.188660 -0.383628 0.805032 209.847098         
